id,igdb_id,original_id,name,slug
1,1649,NULL,"007 Legends",007-legends
11,1646,NULL,"007: Quantum of Solace",007-quantum-of-solace
21,9583,NULL,0rbitalis,0rbitalis
31,9705,NULL,"10,000,000",10000-000
41,8617,NULL,"1001 Spikes",1001-spikes
51,11426,NULL,"100% Orange Juice",100-percent-orange-juice
61,582,NULL,"101 Airborne: The Airborne Invasion of Normandy",101-airborne-the-airborne-invasion-of-normand
71,16745,NULL,"101 Ways to Die",101-ways-to-die
81,2361,NULL,"102 Dalmatians: Puppies to the Rescue",102-dalmatians-puppies-to-the-rescue--1
91,9848,NULL,"10 Second Ninja",10-second-ninja
101,18686,NULL,"10 Second Ninja X",10-second-ninja-x
111,5470,NULL,"11eyes: Tsumi to Batsu to Aganai no Shōjo",11eyes-tsumi-to-batsu-to-aganai-no-shojo
121,15938,NULL,"1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby)",1-dot-dot-dot-2-dot-dot-dot-3-dot-dot-dot-kic
131,14688,NULL,"12 is Better than 6",12-is-better-than-6
141,17481,NULL,"12Riven: The Psi-Climinal of Integral",12riven-the-psi-climinal-of-integral
151,9497,NULL,140,140
161,6761,NULL,1849,1849
171,21627,NULL,"1849: Nevada Silver",1849-nevada-silver
181,12374,NULL,"1893: A World's Fair Mystery",1893-a-worlds-fair-mystery
191,11427,NULL,"18 Wheels of Steel: American Long Haul",18-wheels-of-steel-american-long-haul
201,11428,NULL,"18 Wheels of Steel: Extreme Trucker",18-wheels-of-steel-extreme-trucker
211,11429,NULL,"18 Wheels of Steel: Extreme Trucker 2",18-wheels-of-steel-extreme-trucker-2
221,19749,NULL,"1917 - The Alien Invasion",1917-the-alien-invasion
231,9771,NULL,"1953 - KGB Unleashed",1953-kgb-unleashed
241,17886,NULL,"1953: NATO vs Warsaw Pact",1953-nato-vs-warsaw-pact
251,7169,NULL,"1954 Alcatraz",1954-alcatraz
261,19313,NULL,"1954: Alcatraz",1954-alcatraz--1
271,14360,NULL,"1979 Revolution",1979-revolution
281,19390,NULL,"1993 Space Machine",1993-space-machine
291,16316,NULL,1HEART,1heart
301,9894,NULL,1nsane,1nsane
311,583,NULL,"2002 FIFA World Cup",2002-fifa-world-cup
321,5474,NULL,"2006 FIFA World Cup",2006-fifa-world-cup
331,14048,NULL,"200% Mixed Juice",200-percent-mixed-juice
341,9105,NULL,2048,2048
351,17828,NULL,20XX,20xx
361,5714,NULL,"25 To Life",25-to-life
371,11431,NULL,"3079 - Block Action RPG",3079-block-action-rpg
381,11432,NULL,"3089 - Futuristic Action RPG",3089-futuristic-action-rpg
391,19396,NULL,35MM,35mm
401,13667,NULL,"38M Girls Project",38m-girls-project
411,18467,NULL,"3D Pinball for Windows – Space Cadet",3d-pinball-for-windows-space-cadet
